user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_money_other_brokers,mifid_invested_other_brokers,mifid_experience,has_linked_account,linked_account_days,has_demo_account,demo_account_days,has_demo_trade,demo_trade_days,has_mock_account,mock_account_days,user_flow_name,days_until_conversion_or_today,is_converted
EUR,46,0.0,1,0.0,0,,0,1,6,7,1,1,13,1,0,,0,,0,,0,,2,18,0
EUR,46,0.0,1,0.0,1,7.0,279.9,5,10,10,0,0,0,1,0,,1,0.0,0,,0,,0,8,1
EUR,46,0.0,0,,0,,0,1,12,6,1,1,5,1,0,,0,,0,,0,,2,18,0
USD,74,0.0,1,1.0,0,,0,1,5,5,1,0,0,1,0,,0,,0,,0,,2,18,0
USD,31,0.0,0,,0,,0,1,10,15,1,1,5,1,0,,0,,0,,0,,2,18,0
USD,160,0.0,0,,0,,0,1,12,7,1,1,12,1,0,,0,,0,,0,,2,18,0
USD,84,0.0,1,0.0,0,,0,1,11,11,0,1,6,1,0,,0,,0,,0,,2,18,0
USD,150,0.0,1,1.0,0,,0,1,8,7,0,0,0,1,0,,0,,0,,0,,0,18,0
USD,43,0.0,0,,0,,0,1,12,13,0,0,0,0,0,,0,,0,,0,,0,19,0
USD,101,7.0,0,,0,,0,1,7,7,1,1,7,1,0,,0,,0,,0,,0,19,0
USD,100,0.0,1,1.0,0,,0,1,13,13,1,1,12,1,0,,0,,0,,0,,2,19,0
EUR,46,0.0,1,1.0,0,,0,1,7,5,1,1,13,1,0,,0,,0,,0,,2,19,0
USD,74,0.0,0,,0,,0,1,12,12,0,1,6,1,0,,0,,0,,0,,2,19,0
EUR,46,0.0,1,1.0,0,,0,1,12,5,0,1,12,0,0,,0,,0,,0,,2,19,0
EUR,161,0.0,0,,0,,0,1,8,8,0,0,0,0,0,,0,,0,,0,,2,19,0
EUR,46,0.0,0,,0,,0,1,12,12,0,1,12,0,0,,0,,0,,0,,2,19,0
EUR,46,0.0,1,2.0,0,,0,1,6,5,1,0,0,0,0,,0,,0,,0,,2,20,0
USD,66,0.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0,20,0
EUR,46,11.0,0,,0,,0,1,7,7,0,1,12,0,0,,0,,0,,0,,2,20,0
USD,32,0.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,2,20,0
EUR,46,0.0,1,2.0,0,,0,1,12,13,1,0,0,1,0,,0,,0,,0,,2,20,0
GBP,53,0.0,1,2.0,1,2.0,8,0,13,5,0,1,12,0,0,,0,,0,,0,,2,2,1
USD,160,0.0,1,2.0,0,,0,1,5,6,0,1,12,1,0,,0,,0,,0,,2,20,0
EUR,111,0.0,1,2.0,0,,0,1,12,5,1,0,0,1,0,,0,,0,,0,,2,20,0
USD,22,0.0,1,2.0,0,,0,1,7,8,0,1,7,1,0,,0,,0,,0,,1,20,0
EUR,46,0.0,0,,0,,0,1,12,5,1,1,12,0,0,,0,,0,,0,,2,21,0
USD,22,0.0,1,3.0,1,3.0,2.012,4,7,8,1,1,7,1,0,,1,0.0,0,,0,,2,3,1
USD,46,0.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,0,21,0
EUR,129,0.0,1,3.0,1,3.0,4,0,10,5,1,1,8,1,1,3.0,1,0.0,0,,0,,0,4,1
USD,8,0.0,0,,0,,0,1,13,13,1,0,0,0,0,,0,,0,,0,,0,21,0
EUR,1,0.0,0,,0,,0,1,7,8,1,1,7,0,0,,0,,0,,0,,0,21,0
USD,31,0.0,1,3.0,0,,0,1,13,5,0,1,12,0,0,,0,,0,,0,,2,21,0
EUR,46,19.0,0,,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,0,21,0
EUR,46,0.0,0,,0,,0,1,12,5,0,0,0,0,0,,0,,0,,0,,0,21,0
USD,28,21.0,1,21.0,1,21.0,2,3,12,5,1,0,0,0,0,,0,,0,,0,,0,21,0
USD,13,0.0,0,,0,,0,1,12,12,1,1,12,0,0,,0,,0,,0,,2,21,0
EUR,46,3.0,0,,0,,0,1,12,13,1,0,0,0,0,,0,,0,,0,,2,21,0
EUR,46,0.0,0,,0,,0,1,13,13,0,0,0,0,0,,0,,0,,0,,2,21,0
USD,28,0.0,0,,0,,0,1,12,13,1,0,0,0,0,,0,,0,,0,,2,21,0
GBP,53,0.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,2,21,0
USD,31,0.0,0,,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,22,0
USD,41,0.0,0,,0,,0,1,5,5,0,0,0,0,0,,0,,0,,0,,2,22,0
USD,31,0.0,1,4.0,0,,0,1,10,10,1,1,10,1,0,,0,,0,,0,,2,22,0
USD,111,0.0,0,,0,,0,1,12,12,0,1,12,1,0,,0,,0,,0,,0,22,0
USD,155,0.0,1,1.0,0,,0,1,12,13,1,1,12,1,0,,0,,0,,0,,0,22,0
EUR,50,1.0,1,4.0,0,,0,1,15,8,0,0,0,0,0,,0,,0,,0,,2,22,0
EUR,46,0.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,2,22,0
EUR,46,0.0,1,0.0,0,,0,1,12,12,1,0,0,0,0,,0,,0,,0,,2,22,0
USD,152,0.0,0,,0,,0,1,7,6,0,0,0,0,0,,0,,0,,0,,2,22,0
EUR,53,0.0,1,0.0,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,22,0
EUR,46,0.0,1,0.0,1,0.0,2,0,5,7,1,1,5,0,0,,1,0.0,0,,0,,0,0,1
EUR,77,0.0,1,0.0,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,22,0
EUR,46,3.0,1,11.0,1,15.0,3.27164,5,13,13,1,0,0,0,0,,0,,0,,0,,2,22,0
USD,8,0.0,1,0.0,0,,0,1,10,9,1,1,9,1,0,,0,,0,,0,,2,22,0
USD,31,0.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,0,22,0
USD,22,0.0,1,4.0,0,,0,1,12,13,1,1,13,1,0,,0,,0,,0,,2,22,0
USD,31,0.0,1,0.0,0,,0,1,5,13,0,1,13,0,0,,0,,0,,0,,0,22,0
USD,43,0.0,1,4.0,0,,0,1,5,5,1,1,12,0,0,,0,,0,,0,,2,22,0
USD,12,0.0,0,,0,,0,1,12,5,1,1,12,1,0,,0,,0,,0,,0,22,0
EUR,46,1.0,1,8.0,0,,0,1,6,7,1,1,12,1,0,,0,,0,,0,,2,23,0
EUR,46,0.0,1,2.0,0,,0,1,13,5,1,1,12,1,0,,0,,0,,0,,2,23,0
USD,53,0.0,1,1.0,0,,0,1,13,13,1,1,12,1,0,,0,,0,,0,,2,23,0
USD,68,0.0,0,,0,,0,1,13,13,1,1,5,1,0,,0,,0,,0,,2,23,0
USD,111,0.0,1,1.0,0,,0,1,12,13,0,1,12,0,0,,0,,0,,0,,2,23,0
EUR,46,0.0,1,5.0,0,,0,1,9,7,1,1,6,1,0,,0,,0,,0,,2,23,0
EUR,46,0.0,1,1.0,1,1.0,3.6,0,6,6,1,1,13,1,0,,1,0.0,1,0.0,0,,2,1,1
USD,74,0.0,1,2.0,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,23,0
EUR,46,0.0,1,0.0,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,23,0
USD,46,0.0,0,,0,,0,1,13,13,1,1,12,1,0,,0,,0,,0,,2,23,0
GBP,53,0.0,1,0.0,0,,0,1,11,11,1,1,11,1,0,,0,,0,,0,,2,23,0
