user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_experience,mifid_money_other_brokers,mifid_invested_other_brokers,user_flow_name,first_trade_investor_account_demo_days,conversion
USD,120,0,0,,0,,0,1,5,5,0,1,0,0,3,,0
USD,25,0,0,,0,,0,1,0,0,0,0,0,0,2,,0
EUR,36,0,0,,0,,0,1,6,12,0,0,0,0,3,,0
USD,31,0,0,,0,,0,1,13,12,1,1,1,12,3,0,0
EUR,70,0,1,0,0,,0,1,12,12,1,1,1,12,3,,0
USD,120,0,0,,0,,0,1,7,8,0,1,1,6,2,0,0
USD,25,0,0,,0,,0,1,12,12,0,0,0,0,3,,0
USD,22,0,0,,0,,0,1,12,13,1,0,1,12,2,0,0
USD,71,0,0,,0,,0,1,12,12,1,1,0,0,3,,0
EUR,36,0,1,5,0,,0,1,12,13,1,0,0,0,3,5,0
EUR,36,0,1,0,1,8,1.929161200709931321861254726,0,13,13,0,0,0,0,3,,1
USD,77,0,1,1,0,,0,1,13,5,0,0,0,0,3,,0
EUR,36,0,1,1,0,,0,1,12,12,1,0,1,12,3,,0
USD,31,0,0,,0,,0,1,0,0,0,0,0,0,3,0,0
EUR,81,0,1,0,1,22,4.629986881703835172467011343,0,5,5,1,1,0,0,3,22,0
USD,85,0,0,,0,,0,1,12,5,0,0,1,12,3,,0
EUR,36,0,1,1,1,8,3.858322401419862643722509453,5,9,7,1,1,1,9,3,7,1
EUR,36,0,1,0,0,,0,1,13,13,1,1,1,13,3,0,0
USD,72,0,0,,0,,0,1,13,13,0,1,1,13,2,0,0
USD,85,0,0,,0,,0,1,12,13,1,1,1,12,3,,0
EUR,36,0,1,1,0,,0,1,13,13,0,0,1,12,3,0,0
USD,25,0,0,,0,,0,1,7,13,0,0,0,0,3,,0
EUR,36,0,1,1,1,10,57.87483602129793965583764179,5,5,5,0,0,1,5,3,,1
EUR,36,0,1,1,1,3,11.57496720425958793116752836,0,6,7,1,1,1,13,3,,1
EUR,36,0,1,1,0,,0,1,11,7,1,0,0,0,2,0,0
USD,54,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
GBP,41,0,1,8,0,,0,1,7,7,0,0,1,6,3,,0
EUR,36,0,0,,0,,0,1,6,6,1,0,0,0,3,,0
USD,31,0,1,1,0,,0,1,12,5,1,0,0,0,2,,0
USD,77,0,0,,0,,0,1,12,12,1,1,1,12,3,,0
EUR,22,0,1,10,0,,0,1,12,13,0,0,0,0,3,5,0
EUR,36,0,1,2,1,4,19.29161200709931321861254726,5,13,12,0,0,0,0,3,,1
USD,85,0,0,,0,,0,1,12,12,0,0,1,12,3,,0
EUR,36,12,1,12,1,17,19.29161200709931321861254726,5,5,12,0,0,1,13,2,5,1
GBP,41,0,1,2,0,,0,1,7,7,1,0,0,0,3,,0
USD,6,38,0,,0,,0,1,12,12,0,0,1,12,3,2,0
USD,28,0,1,0,0,,0,1,7,7,1,1,1,7,3,,0
USD,16,0,1,0,0,,0,1,6,7,0,1,1,5,3,,0
EUR,36,0,0,,0,,0,1,6,6,1,0,1,13,3,,0
EUR,36,0,1,1,1,1,3.858322401419862643722509453,0,7,7,0,0,1,7,2,,1
USD,46,0,0,,0,,0,1,6,7,0,0,0,0,3,,0
EUR,36,0,1,1,0,,0,1,12,13,1,0,1,13,3,0,0
EUR,36,0,1,1,1,1,1.929161200709931321861254726,0,12,12,0,0,0,0,3,,1
EUR,36,0,1,1,1,8,75.12153715564472567327725905,5,8,6,0,0,0,0,3,,1
USD,22,0,0,,0,,0,1,12,12,0,0,0,0,3,,0
USD,77,0,1,0,0,,0,1,12,13,0,0,1,12,3,,0
USD,22,0,0,,0,,0,1,13,6,1,0,0,0,3,0,0
USD,65,0,0,,0,,0,1,6,13,0,1,0,0,3,,0
EUR,81,3,1,5,1,5,3.858322401419862643722509453,0,7,7,0,0,1,6,3,2,1
USD,97,0,0,,0,,0,1,8,7,1,1,1,6,3,,0
EUR,36,0,1,0,1,8,37.03989505363068137973609075,5,7,5,1,0,0,0,3,,1
EUR,36,0,1,0,1,2,61.73315842271780229956015125,5,7,13,1,0,0,0,3,,1
USD,85,1,0,,0,,0,1,12,12,0,0,0,0,3,,0
EUR,36,0,1,6,0,,0,1,5,7,0,0,0,0,3,6,0
EUR,36,9,1,22,1,22,9.645806003549656609306273632,0,13,5,0,0,0,0,3,,1
USD,85,0,1,7,0,,0,1,13,5,0,0,0,0,2,0,0
USD,77,32,1,34,1,34,1.929161200709931321861254726,3,13,13,1,1,1,12,3,0,0
USD,36,0,0,,0,,0,1,5,12,1,1,1,12,2,0,0
EUR,29,0,1,2,1,33,3.858322401419862643722509453,0,13,5,0,0,0,0,3,,0
GBP,41,0,1,3,1,33,1.929161200709931321861254726,0,5,5,0,0,1,13,3,,0
EUR,36,0,0,,0,,0,1,13,13,1,1,1,12,3,,0
USD,85,0,0,,0,,0,1,12,6,0,0,0,0,3,,0
EUR,36,0,0,,0,,0,1,6,7,0,0,0,0,3,,0
EUR,91,0,1,2,1,26,19.29161200709931321861254726,5,8,8,1,0,1,6,3,15,0
USD,120,0,1,2,0,,0,1,7,7,1,1,1,5,3,2,0
USD,22,0,0,,0,,0,1,12,13,0,0,0,0,3,,0
EUR,91,0,1,3,0,,0,1,8,10,1,1,1,8,3,,0
USD,85,3,0,,0,,0,1,0,0,0,0,0,0,3,3,0
USD,101,0,1,0,0,,0,1,6,7,1,0,0,0,3,,0
USD,36,0,1,41,1,49,1.929161200709931321861254726,0,5,6,0,0,1,12,3,,0
EUR,36,0,0,,0,,0,1,13,12,0,0,0,0,3,0,0
USD,46,0,0,,0,,0,1,13,7,0,0,0,0,3,,0
EUR,85,0,1,1,1,5,11.57496720425958793116752836,3,7,13,0,0,0,0,3,6,1
EUR,25,13,1,15,1,18,3.858322401419862643722509453,3,12,13,1,1,1,12,3,13,1
EUR,36,0,0,,0,,0,1,8,8,1,0,1,7,3,,0
USD,24,0,0,,0,,0,1,7,7,1,1,0,0,3,,0
USD,85,0,1,14,1,16,2.700825680993903850605756617,3,6,6,1,1,1,12,3,0,1
EUR,36,0,1,7,1,35,1.929161200709931321861254726,0,5,6,0,0,0,0,3,0,0
EUR,36,0,1,0,1,27,1.929161200709931321861254726,0,12,12,0,0,0,0,3,0,1
EUR,36,3,0,,0,,0,1,13,11,1,1,0,0,3,,0
USD,71,0,0,,0,,0,1,12,12,0,0,1,12,3,0,0
EUR,77,0,0,,0,,0,1,12,12,1,1,0,0,3,,0
EUR,36,0,1,3,1,7,1.929161200709931321861254726,0,12,12,0,0,1,12,3,0,1
USD,6,57,1,58,0,,0,1,12,12,0,0,1,12,3,0,0
USD,22,1,0,,0,,0,1,12,12,0,0,0,0,3,1,0
EUR,58,0,0,,0,,0,1,12,12,1,0,0,0,3,,0
USD,85,0,0,,0,,0,1,6,12,0,0,0,0,3,,0
USD,120,0,0,,0,,0,1,13,13,1,1,0,0,3,,0
