date,incomes
2020-05-14,220813.61176517484
2020-05-15,220350.4407874876
2020-05-17,219881.12839503295
2020-05-18,219439.90592066688
2020-05-19,219030.51436287403
2020-05-20,218600.00662293873
2020-05-21,218183.30587304273
2020-05-22,217757.676185587
2020-05-24,217366.18455551655
2020-05-25,216996.69864210323
2020-05-26,216670.2457779968
2020-05-27,216349.09268851287
2020-05-28,216022.40853916388
2020-05-29,215756.0900333754
2020-05-31,215533.964147704
2020-06-01,215360.98601109744
2020-06-02,215206.61059821086
2020-06-03,215067.4886043441
2020-06-04,214939.17447053565
2020-06-05,214840.32921898022
2020-06-07,214745.26110452722
2020-06-08,214650.96708983
2020-06-09,214547.535654013
2020-06-10,214433.70307239017
2020-06-11,214318.96052665965
2020-06-12,214201.34357130705
2020-06-14,214095.926804633
2020-06-15,214010.01059395095
2020-06-16,213940.032741656
2020-06-17,213918.9979710123
2020-06-18,213932.3774689575
2020-06-19,213968.63972887094
2020-06-21,214024.7841726488
2020-06-22,214105.5883965104
2020-06-23,214195.1312759717
2020-06-24,214246.38199491057
2020-06-25,214280.8475776211
2020-06-26,214287.97896308138
2020-06-28,214278.26968609568
2020-06-29,214258.45253433802
2020-06-30,214228.18433119752
2020-07-01,214202.98091039486
2020-07-02,214167.5842696001
2020-07-03,214111.59450178433
2020-07-05,214072.2955925865
2020-07-06,214063.24623922585
2020-07-07,214086.80063186513
2020-07-08,214124.0878774621
2020-07-09,214158.0742050898
2020-07-10,214233.1985980366
2020-07-12,214322.25396037375
2020-07-13,215409.53313781117
2020-07-14,215516.10507858533
2020-07-15,215581.57048966375
2020-07-16,215627.8478097526
2020-07-17,216673.3244173401
2020-07-19,216708.78151218133
2020-07-20,217422.64996684896
2020-07-21,217843.22166849737
2020-07-22,218285.19274981372
2020-07-23,218888.91695718668
2020-07-24,219607.1487028543
2020-07-26,220373.5343001228
2020-07-27,221251.2064946312
2020-07-28,222132.70416307688
2020-07-29,223002.99343722413
2020-07-30,223887.63289204438
2020-07-31,224883.20653933415
2020-08-02,225816.89922508644
2020-08-03,226641.5660747093
2020-08-04,227260.37036591157
2020-08-05,227774.72539802437
2020-08-06,228257.22221065278
2020-08-07,228663.37506529217
2020-08-09,229049.1378034305
2020-08-10,229424.19038779108
2020-08-11,229899.00485190406
2020-08-12,230481.1469820101
2020-08-13,231063.57843211864
2020-08-14,231566.4904917888
2020-08-16,232123.72504361992
2020-08-17,232572.44362294636
2020-08-18,232932.3111949417
2020-08-19,233425.3598540583
2020-08-20,233898.3534804445
2020-08-21,234316.82407496878
2020-08-23,234691.6573327779
2020-08-24,235059.98143469874
2020-08-25,235488.0680023687
2020-08-26,235906.7190097024
2020-08-27,236438.0291491298
2020-08-28,236993.99348677008
2020-08-29,237502.70444687942
2020-08-30,238112.7671650749
2020-08-31,238796.73530387005
2020-09-01,239512.36649387545
2020-09-02,240232.02968210154
2020-09-03,240881.163467353
2020-09-04,241353.5986944357
2020-09-06,241752.0935358008
2020-09-07,241977.3308721365
2020-09-08,242138.21497164684
2020-09-09,242267.61520098313
2020-09-10,242396.5335835152
2020-09-11,242534.96396908042
2020-09-13,242633.18507008458
2020-09-14,242691.54815134866
2020-09-15,242586.04670479384
2020-09-16,242489.4352874465
2020-09-17,242406.27493934616
2020-09-18,242309.8558820025
2020-09-20,242244.84835612978
2020-09-21,242287.3335974028
2020-09-22,242268.13127876795
2020-09-23,242281.8738043059
2020-09-24,242235.05359016088
2020-09-25,242136.0234303154
2020-09-27,241986.3175712622
2020-09-28,241857.42392270963
2020-09-29,241743.50549075697
2020-09-30,241693.2067903811
2020-10-01,241727.0915560395
2020-10-02,241792.98940581817
2020-10-04,241915.6374172823
2020-10-05,242076.844356425
2020-10-06,242162.3845512139
2020-10-07,242257.9945186168
2020-10-08,242280.1939584197
2020-10-09,242404.46522773537
2020-10-11,242543.83318852814
2020-10-12,242602.90411812122
2020-10-13,242763.86627237036
2020-10-14,242968.98640872777
2020-10-15,243171.7650885718
2020-10-16,243429.2565922964
2020-10-18,243686.27384928244
2020-10-19,243919.39427937684
2020-10-20,244228.9995804245
2020-10-21,244649.68057106461
2020-10-22,245052.2399493567
2020-10-23,245467.29410861136
2020-10-25,245862.65360091257
2020-10-26,246380.96476934478
2020-10-27,246972.03344121508
2020-10-28,247736.735670591
2020-10-29,248759.09273219446
2020-10-30,250060.27255716117
2020-11-01,251373.5145629964
2020-11-02,252757.6765957208
2020-11-03,253083.3487152186
2020-11-04,253528.87424536873
2020-11-05,254029.97741009836
2020-11-06,254523.40079618213
2020-11-08,255013.4369057377
2020-11-09,255557.12527604925
2020-11-10,256133.3008369355
2020-11-11,256719.28794453005
2020-11-12,257300.9229239417
2020-11-13,257877.6727244438
2020-11-15,258455.74216415797
2020-11-16,259014.61919851764
2020-11-17,259552.82264349068
2020-11-18,260085.1508545143
2020-11-19,260613.9377945149
2020-11-20,261133.5679539571
2020-11-22,261672.3468309325
2020-11-23,262216.048687758
2020-11-24,262778.0080978683
2020-11-25,263270.4418185385
2020-11-26,263687.46343727416
2020-11-27,264046.1353697254
2020-11-29,264373.2350083505
2020-11-30,264688.2701028136
2020-12-01,264953.65009095694
2020-12-02,265102.18192745
2020-12-03,265224.4643647184
2020-12-04,265335.99785338726
2020-12-06,265427.3374536233
2020-12-07,265479.96653267555
2020-12-08,265496.384426923
2020-12-09,265509.0207774065
2020-12-10,265529.9697270273
2020-12-11,265566.36848754535
2020-12-13,265576.3815993429
2020-12-14,265540.2221985683
2020-12-15,265461.5440444143
2020-12-16,265340.8183123154
2020-12-17,265235.15437633137
2020-12-18,265130.15865866013
2020-12-20,264967.2100252232
2020-12-21,264717.1794462858
2020-12-22,264393.6452338727
2020-12-23,264060.8398947639
2020-12-24,263716.1056086691
2020-12-25,263266.4686305014
2020-12-27,262796.7543751939
2020-12-28,262295.5782700606
2020-12-29,261788.3798878097
2020-12-30,261257.4007453686
2020-12-31,260668.81212623225
2021-01-01,260015.3573672991
2021-01-03,259385.41528047482
2021-01-04,258760.6848184968
2021-01-05,258127.91739568365
2021-01-06,257501.0370874667
2021-01-07,256868.79859903106
2021-01-08,256240.38339061697
2021-01-10,255612.46593574193
2021-01-11,255032.64424904776
2021-01-12,254537.04001417453
2021-01-13,254109.83214870555
2021-01-14,254684.84941947254
2021-01-15,255276.14748347833
2021-01-17,254917.75076157565
2021-01-18,255621.66236787377
2021-01-19,254376.0109484394
